name,workout_id,exercise,sets,reps,weight,upper_lower,push_pull,exercise_movement
Abelev,60,banded squats,3,10,1,lower,pushes,lower_body_pushes
Abelev,60,rfe lunges,3,10,1,lower,pushes,lower_body_pushes
Abelev,60,side planks,3,30,1,core,core,core
Abelev,60,banded walks,3,60,1,core,core,core
Abelev,60,split squat jumps,3,10,1,lower,pushes,lower_body_pushes
Abelev,60,burpees,3,10,1,cardio,cardio,cardio
Abelev,60,mountain climbers,3,30,1,cardio,cardio,cardio
Abelev,86,static lunges,3,10,18,lower,pushes,lower_body_pushes
Abelev,86,banded squats,3,10,60,lower,pushes,lower_body_pushes
Abelev,86,squat jumps,3,10,1,plyos,plyos,plyos
Abelev,86,burpees,3,10,1,cardio,cardio,cardio
Abelev,86,side planks,3,30,1,core,core,core
Abelev,86,mountain climbers,4,30,1,cardio,cardio,cardio
Abelev,86,banded walks,3,60,1,core,core,core
Abelev,86,plank to pushup,3,30,1,core,core,core
Abelev,109,burpees,3,12,1,cardio,cardio,cardio
Abelev,109,plank circuit,2,30,1,core,core,core
Abelev,109,static lunges,3,12,1,lower,pushes,lower_body_pushes
Abelev,109,banded squats,3,12,1,lower,pushes,lower_body_pushes
Abelev,109,banded walks,3,60,1,core,core,core
Abelev,109,split squat jumps,3,12,1,lower,pushes,lower_body_pushes
Abelev,109,mountain climbers,3,30,1,cardio,cardio,cardio
Abelev,124,sa renegade row,3,10,18,upper,pulls,upper_body_pulls
Abelev,124,"i,y,t's",3,10,2,upper,pulls,upper_body_pulls
Abelev,124,burpees,3,12,1,cardio,cardio,cardio
Abelev,124,bb bench press,3,10,80,upper,pushes,upper_body_pushes
Abelev,124,mountain climbers,3,30,1,cardio,cardio,cardio
Abelev,124,sa db row,3,10,35,upper,pulls,upper_body_pulls
Abelev,124,bb oh press,3,10,60,upper,pushes,upper_body_pushes
Abelev,124,plank circuit,3,30,1,core,core,core
Abelev,153,split squat jumps,3,15,1,lower,pushes,lower_body_pushes
Abelev,153,banded squats,3,15,1,lower,pushes,lower_body_pushes
Abelev,153,side planks,3,30,1,core,core,core
